deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\foliage\all\foliage5_51aa1a04fe	foliage	Amplified	ambient/soundscape/foliage	Foliage5	5.183
zs\foliage\all\foliage10_11025bf5a6	foliage	Amplified	ambient/soundscape/foliage	Foliage10	4.828
zs\foliage\all\foliage11_3681a9f6c7	foliage	Amplified	ambient/soundscape/foliage	Foliage11	6.0
zs\foliage\all\foliage12_c512c1868a	foliage	Amplified	ambient/soundscape/foliage	Foliage12	5.521
zs\foliage\all\foliage13_ea8c7ab46e	foliage	Amplified	ambient/soundscape/foliage	Foliage13	6.0
zs\foliage\all\foliage14_ef7d0e8469	foliage	Amplified	ambient/soundscape/foliage	Foliage14	4.709
zs\foliage\all\foliage15_484fb51874	foliage	Amplified	ambient/soundscape/foliage	Foliage15	4.479
zs\foliage\all\foliage16_a4f85ba6f9	foliage	Amplified	ambient/soundscape/foliage	Foliage16	6.0
zs\foliage\all\foliage17_5da290d928	foliage	Amplified	ambient/soundscape/foliage	Foliage17	5.769
zs\foliage\all\foliage18_9b9906d540	foliage	Amplified	ambient/soundscape/foliage	Foliage18	4.935
zs\foliage\all\foliage2_4502ea6c1e	foliage	Amplified	ambient/soundscape/foliage	Foliage2	4.017
zs\foliage\all\foliage3_64bbfc526e	foliage	Amplified	ambient/soundscape/foliage	Foliage3	6.0
zs\foliage\all\foliage4_4b2fa5ef87	foliage	Amplified	ambient/soundscape/foliage	Foliage4	5.78
zs\foliage\all\foliage6_9a21af31e6	foliage	Amplified	ambient/soundscape/foliage	Foliage6	4.474
zs\foliage\all\foliage7_d845349571	foliage	Amplified	ambient/soundscape/foliage	Foliage7	3.734
zs\foliage\all\foliage8_b6d2da0adb	foliage	Amplified	ambient/soundscape/foliage	Foliage8	5.323
zs\foliage\all\foliage9_659361b904	foliage	Amplified	ambient/soundscape/foliage	Foliage9	4.058
zs\foliage\all\snap1_80b40e4907	foliage	Amplified	ambient/soundscape/foliage	snap1	6.0
zs\foliage\all\snap10_a27f1b6016	foliage	Amplified	ambient/soundscape/foliage	snap10	6.0
zs\foliage\all\snap11_5c54a3b64a	foliage	Amplified	ambient/soundscape/foliage	snap11	6.0
zs\foliage\all\snap12_857c2d2ee4	foliage	Amplified	ambient/soundscape/foliage	snap12	6.0
